id,title,director,duration_minutes,genres,release_year,synopsis,themes,thumbnail_url,video_url,view_count
2ffd86db-29c1-430a-8093-3a70f3f42594,Tant que le jour se lève,,2,Drama,2026,Monsieur Jean a rendez-vous.,Drama,,https://www.youtube.com/watch?v=4PkCpRBAH-4,2469
39a2484e-9bdc-46a4-85c4-bafb1059a84e,SACREBLEU,,2,"Drama, Horror, Romance",2026,"Maintenant que la mort avait frappé Luce, il fallait qu'Éloi s'attende à recevoir des signes.","Drama, Horror, Romance",,https://www.youtube.com/watch?v=TPjszNR4ZiY,2465
f26f32d9-c89b-4e9b-96c0-331963dfae9c,Ce que la nuit savait déjà,,2,Drama,2026,"Dans un monde où voir est la seule manière de croire, Luc avance sans yeux, guidé par ses autres sens, mais une nuit, un événement vient bouleverser sa vision du monde.",Drama,,https://www.youtube.com/watch?v=5Oodyk5SC0c,2426
52e20889-bf98-441b-8bca-5fb4a7b3486f,MARQUANTE,,2,Drama,2026,"Roxanne est une jeune fille qui veut faire comme tout le monde, recevoir la marque qu’on attend d’elle.",Drama,,https://www.youtube.com/watch?v=BCCaMOKAGb4,2401
7b21715f-e8af-47a3-9a75-55de8be07a4b,TOUSSEZ,,2,Drama,2026,Un cabinet médical devient un zoo.,Drama,,https://www.youtube.com/watch?v=sjQ5YCIbdTE,2242
7ad391a6-cc71-4a9b-a40a-4aab3fb33d78,KING BEN - Épisode N°4,,2,Drama,2025,"Deux amis face à une réflexion philosophique vielle comme le monde : la vérité, mais a quel prix ?",Drama,,https://www.youtube.com/watch?v=EscxiGnnWr8,2238
82b82e12-60f3-4590-b00b-507aa1972eca,SIRÈNE,,2,Drama,2026,"Alors que Léa, employée d’accueil d’un spa, s’apprête à fermer pour rejoindre ses amis, deux clients âgés, Daniel qui pousse sa femme Irène en fauteuil, l’obligent à rester.",Drama,,https://www.youtube.com/watch?v=cu9bWu0R8Z0,2203
c7446fd6-cd76-4a9c-8081-4d11f5837a32,Barber chope,,2,Drama,2026,Luke se prend pour un cow boy.,Drama,,https://www.youtube.com/watch?v=K33_E0FPZSs,2139
f95c3a10-65a6-4353-9967-d795f9ea743e,Les Fleuristes,,2,Sci-Fi,2026,"Dans une boutique de fleurs figée en noir et blanc, trois femmes munies de pinceaux et de couleurs primaires vont transformer un espace monotone en un spectacle visuel éclatant.",Sci-Fi,,https://www.youtube.com/watch?v=nW1ihw2caNw,2061
e6b7d5db-ff8e-4e35-985b-1901952f40b2,Gracile,,2,Drama,2026,"Le jour de ses 18 ans, Élise fête son anniversaire entourée de ses proches.",Drama,,https://www.youtube.com/watch?v=RuRcz7YuXhw,2015
006dcbba-20ef-4059-914b-6a57952a85d6,LECTURE SEULE | Nikon Film Festival [FR],,2,Drama,2025,Anton perçoit les pensées de n’importe qui autour de lui.,Drama,,https://www.youtube.com/watch?v=EjKVvq1h8Mo,1982
82faac71-654e-4da4-a00e-ada2278ced90,LA POUPÉE LARABIE,,2,Drama,2026,"Il était une fois, une poupée de cire à la peau ébène qui n'avait qu'un seul rêve, trouver une famille qui l'aimera telle qu'elle est.",Drama,,https://www.youtube.com/watch?v=owBxmzANMcU,1961
3970da26-ea88-49ce-b60f-8694c624393a,Ce que je garde,,2,"Documentary, Experimental",2026,"La beauté se glisse parfois dans les petits rien : un vêtement, une odeur, un repas.","Documentary, Experimental",,https://www.youtube.com/watch?v=KAw1wwPR-v4,1926
